datetime,open,high,low,close
2025-04-30 14:00:00,1.13718,1.13769,1.13692,1.13757
2025-04-30 14:15:00,1.13751,1.13754,1.1369,1.13745
2025-04-30 14:30:00,1.13747,1.13798,1.13725,1.13742
2025-04-30 14:45:00,1.13741,1.1375,1.13602,1.13625
2025-04-30 15:00:00,1.13626,1.13703,1.13621,1.13689
2025-04-30 15:15:00,1.13682,1.13701,1.13622,1.13670
2025-04-30 15:30:00,1.13661,1.13673,1.13611,1.13623
2025-04-30 15:45:00,1.13626,1.13673,1.13609,1.13621
2025-04-30 16:00:00,1.13619,1.13648,1.13557,1.13642
2025-04-30 16:15:00,1.13645,1.13728,1.13624,1.13697
2025-04-30 16:30:00,1.13702,1.13811,1.13699,1.13795
2025-04-30 16:45:00,1.13796,1.138,1.13714,1.13742
2025-04-30 17:00:00,1.13733,1.13753,1.13696,1.13735
2025-04-30 17:15:00,1.13735,1.13857,1.13721,1.13772
2025-04-30 17:30:00,1.1377,1.13814,1.13644,1.13793
2025-04-30 17:45:00,1.13799,1.13893,1.13688,1.13726
2025-04-30 18:00:00,1.13738,1.13768,1.13613,1.13685
2025-04-30 18:15:00,1.13685,1.1372,1.13611,1.13647
2025-04-30 18:30:00,1.13648,1.1378,1.13632,1.1372
2025-04-30 18:45:00,1.13723,1.13751,1.13653,1.13692
2025-04-30 19:00:00,1.13695,1.13754,1.13495,1.13587
2025-04-30 19:15:00,1.13608,1.1367,1.13544,1.13616
2025-04-30 19:30:00,1.13624,1.13657,1.13558,1.13566
2025-04-30 19:45:00,1.13562,1.13795,1.13511,1.13657
2025-04-30 20:00:00,1.1367,1.13756,1.13602,1.1361
2025-04-30 20:15:00,1.13611,1.13644,1.13297,1.13318
2025-04-30 20:30:00,1.13314,1.13422,1.13229,1.13357
2025-04-30 20:45:00,1.13358,1.13494,1.13282,1.13479
2025-04-30 21:00:00,1.13482,1.13576,1.13447,1.13517
2025-04-30 21:15:00,1.13513,1.13548,1.13477,1.13535
2025-04-30 21:30:00,1.13536,1.1356,1.13476,1.13497
2025-04-30 21:45:00,1.13502,1.13596,1.13493,1.13556
2025-04-30 22:00:00,1.13557,1.1363,1.13549,1.13583
2025-04-30 22:15:00,1.13582,1.13652,1.13566,1.13637
2025-04-30 22:30:00,1.13637,1.13646,1.13555,1.13626
2025-04-30 22:45:00,1.13629,1.13632,1.13449,1.13459
2025-04-30 23:00:00,1.1346,1.1358,1.13433,1.13541
2025-04-30 23:15:00,1.13546,1.13588,1.13431,1.13439
